Sexo;País de nacimiento;Relación con la actividad;Periodo;Total
Total;Rumanía;Parado/a;2022;69.669
Total;Rumanía;Parado/a;2021;88.031
Total;Rumanía;Inactivo/a;2022;166.656
Total;Rumanía;Inactivo/a;2021;171.115
Total;Rusia;Total;2022;90.270
Total;Rusia;Total;2021;85.917
Total;Rusia;Ocupado/a;2022;28.281
Total;Rusia;Ocupado/a;2021;25.121
Total;Rusia;Parado/a;2022;7.954
Total;Rusia;Parado/a;2021;10.390
Total;Rusia;Inactivo/a;2022;54.035
Total;Rusia;Inactivo/a;2021;50.406
Total;Senegal;Total;2022;81.069
Total;Senegal;Total;2021;76.093
Total;Senegal;Ocupado/a;2022;38.843
Total;Senegal;Ocupado/a;2021;33.913
Total;Senegal;Parado/a;2022;7.448
Total;Senegal;Parado/a;2021;9.634
Total;Senegal;Inactivo/a;2022;34.778
Total;Senegal;Inactivo/a;2021;32.546
Total;Serbia;Total;2022;5.680
Total;Serbia;Total;2021;5.583
Total;Serbia;Ocupado/a;2022;2.349
Total;Serbia;Ocupado/a;2021;2.187
Total;Serbia;Parado/a;2022;366
Total;Serbia;Parado/a;2021;496
Total;Serbia;Inactivo/a;2022;2.965
Total;Serbia;Inactivo/a;2021;2.900
Total;Siria;Total;2022;9.441
Total;Siria;Total;2021;9.218
Total;Siria;Ocupado/a;2022;2.952
Total;Siria;Ocupado/a;2021;2.576
Total;Siria;Parado/a;2022;1.448
Total;Siria;Parado/a;2021;1.782
Total;Siria;Inactivo/a;2022;5.041
Total;Siria;Inactivo/a;2021;4.860
Total;Sudáfrica;Total;2022;3.726
Total;Sudáfrica;Total;2021;3.521
Total;Sudáfrica;Ocupado/a;2022;1.552
Total;Sudáfrica;Ocupado/a;2021;1.394
Total;Sudáfrica;Parado/a;2022;150
Total;Sudáfrica;Parado/a;2021;231
Total;Sudáfrica;Inactivo/a;2022;2.024
Total;Sudáfrica;Inactivo/a;2021;1.896
Total;Suecia;Total;2022;18.443
Total;Suecia;Total;2021;17.137
Total;Suecia;Ocupado/a;2022;6.058
Total;Suecia;Ocupado/a;2021;5.572
Total;Suecia;Parado/a;2022;442
Total;Suecia;Parado/a;2021;661
Total;Suecia;Inactivo/a;2022;11.943
Total;Suecia;Inactivo/a;2021;10.904
Total;Suiza;Total;2022;56.142
Total;Suiza;Total;2021;55.310
Total;Suiza;Ocupado/a;2022;32.713
Total;Suiza;Ocupado/a;2021;31.569
Total;Suiza;Parado/a;2022;4.333
Total;Suiza;Parado/a;2021;5.275
Total;Suiza;Inactivo/a;2022;19.096
Total;Suiza;Inactivo/a;2021;18.466
Total;Tailandia;Total;2022;2.744
Total;Tailandia;Total;2021;2.596
Total;Tailandia;Ocupado/a;2022;1.099
Total;Tailandia;Ocupado/a;2021;974
Total;Tailandia;Parado/a;2022;126
Total;Tailandia;Parado/a;2021;193
Total;Tailandia;Inactivo/a;2022;1.519
Total;Tailandia;Inactivo/a;2021;1.429
Total;Túnez;Total;2022;3.982
Total;Túnez;Total;2021;3.672
Total;Túnez;Ocupado/a;2022;1.432
Total;Túnez;Ocupado/a;2021;1.181
Total;Túnez;Parado/a;2022;319
Total;Túnez;Parado/a;2021;414
Total;Túnez;Inactivo/a;2022;2.231
Total;Túnez;Inactivo/a;2021;2.077
Total;Turquía;Total;2022;6.065
Total;Turquía;Total;2021;5.760
Total;Turquía;Ocupado/a;2022;2.758
Total;Turquía;Ocupado/a;2021;2.436
Total;Turquía;Parado/a;2022;264
Total;Turquía;Parado/a;2021;349
Total;Turquía;Inactivo/a;2022;3.043
Total;Turquía;Inactivo/a;2021;2.975
Total;Ucrania;Total;2022;105.299
Total;Ucrania;Total;2021;103.622
Total;Ucrania;Ocupado/a;2022;51.217
Total;Ucrania;Ocupado/a;2021;47.854
Total;Ucrania;Parado/a;2022;9.998
Total;Ucrania;Parado/a;2021;12.931
Total;Ucrania;Inactivo/a;2022;44.084
Total;Ucrania;Inactivo/a;2021;42.837
Total;Uruguay;Total;2022;80.404
Total;Uruguay;Total;2021;79.708
Total;Uruguay;Ocupado/a;2022;40.770
Total;Uruguay;Ocupado/a;2021;37.573
Total;Uruguay;Parado/a;2022;7.455
Total;Uruguay;Parado/a;2021;10.240
Total;Uruguay;Inactivo/a;2022;32.179
Total;Uruguay;Inactivo/a;2021;31.895
Total;Venezuela;Total;2022;397.840
Total;Venezuela;Total;2021;370.356
Total;Venezuela;Ocupado/a;2022;223.019
Total;Venezuela;Ocupado/a;2021;189.202
Total;Venezuela;Parado/a;2022;34.935
Total;Venezuela;Parado/a;2021;47.473
Total;Venezuela;Inactivo/a;2022;139.886
Total;Venezuela;Inactivo/a;2021;133.681
Total;Vietnam;Total;2022;2.805
Total;Vietnam;Total;2021;2.736
Total;Vietnam;Ocupado/a;2022;1.263
Total;Vietnam;Ocupado/a;2021;1.046
Total;Vietnam;Parado/a;2022;76
Total;Vietnam;Parado/a;2021;102
Total;Vietnam;Inactivo/a;2022;1.466
Total;Vietnam;Inactivo/a;2021;1.588
Total;Otros países de Europa;Total;2022;14.580
Total;Otros países de Europa;Total;2021;14.092
Total;Otros países de Europa;Ocupado/a;2022;6.987
Total;Otros países de Europa;Ocupado/a;2021;6.427
Total;Otros países de Europa;Parado/a;2022;931
Total;Otros países de Europa;Parado/a;2021;1.287
Total;Otros países de Europa;Inactivo/a;2022;6.662
Total;Otros países de Europa;Inactivo/a;2021;6.378
Total;Otros países de África;Total;2022;20.782
Total;Otros países de África;Total;2021;20.252
Total;Otros países de África;Ocupado/a;2022;8.135
Total;Otros países de África;Ocupado/a;2021;7.315
Total;Otros países de África;Parado/a;2022;2.402
Total;Otros países de África;Parado/a;2021;3.151
Total;Otros países de África;Inactivo/a;2022;10.245
Total;Otros países de África;Inactivo/a;2021;9.786
Total;Otros países de América;Total;2022;4.241
Total;Otros países de América;Total;2021;3.993
Total;Otros países de América;Ocupado/a;2022;1.683
Total;Otros países de América;Ocupado/a;2021;1.478
Total;Otros países de América;Parado/a;2022;359
Total;Otros países de América;Parado/a;2021;526
Total;Otros países de América;Inactivo/a;2022;2.199
Total;Otros países de América;Inactivo/a;2021;1.989
Total;Otros países de Asia;Total;2022;12.831
Total;Otros países de Asia;Total;2021;11.447
Total;Otros países de Asia;Ocupado/a;2022;4.019
Total;Otros países de Asia;Ocupado/a;2021;3.580
Total;Otros países de Asia;Parado/a;2022;932
Total;Otros países de Asia;Parado/a;2021;1.224
Total;Otros países de Asia;Inactivo/a;2022;7.880
Total;Otros países de Asia;Inactivo/a;2021;6.643
Total;Otros países de Oceanía;Total;2022;1.731
Total;Otros países de Oceanía;Total;2021;1.747
Total;Otros países de Oceanía;Ocupado/a;2022;753
Total;Otros países de Oceanía;Ocupado/a;2021;717
Total;Otros países de Oceanía;Parado/a;2022;90
Total;Otros países de Oceanía;Parado/a;2021;91
Total;Otros países de Oceanía;Inactivo/a;2022;888
Total;Otros países de Oceanía;Inactivo/a;2021;939
Hombres;Total;Total;2022;19.636.201
Hombres;Total;Total;2021;19.538.739
Hombres;Total;Ocupado/a;2022;10.337.818
Hombres;Total;Ocupado/a;2021;9.975.519
Hombres;Total;Parado/a;2022;1.248.319
Hombres;Total;Parado/a;2021;1.607.458
Hombres;Total;Inactivo/a;2022;8.050.064
Hombres;Total;Inactivo/a;2021;7.955.762
Hombres;Albania;Total;2022;3.087
Hombres;Albania;Total;2021;2.502
Hombres;Albania;Ocupado/a;2022;918
Hombres;Albania;Ocupado/a;2021;780
Hombres;Albania;Parado/a;2022;115
Hombres;Albania;Parado/a;2021;137
Hombres;Albania;Inactivo/a;2022;2.054
Hombres;Albania;Inactivo/a;2021;1.585
Hombres;Alemania;Total;2022;79.131
Hombres;Alemania;Total;2021;76.595
Hombres;Alemania;Ocupado/a;2022;39.398
Hombres;Alemania;Ocupado/a;2021;38.365
Hombres;Alemania;Parado/a;2022;4.031
Hombres;Alemania;Parado/a;2021;5.143
Hombres;Alemania;Inactivo/a;2022;35.702
Hombres;Alemania;Inactivo/a;2021;33.087
Hombres;Angola;Total;2022;1.604
Hombres;Angola;Total;2021;1.612
Hombres;Angola;Ocupado/a;2022;784
Hombres;Angola;Ocupado/a;2021;753
Hombres;Angola;Parado/a;2022;179
Hombres;Angola;Parado/a;2021;248
Hombres;Angola;Inactivo/a;2022;641
Hombres;Angola;Inactivo/a;2021;611
Hombres;Argelia;Total;2022;43.633
Hombres;Argelia;Total;2021;42.626
Hombres;Argelia;Ocupado/a;2022;15.353
Hombres;Argelia;Ocupado/a;2021;14.273
Hombres;Argelia;Parado/a;2022;5.984
Hombres;Argelia;Parado/a;2021;7.024
Hombres;Argelia;Inactivo/a;2022;22.296
Hombres;Argelia;Inactivo/a;2021;21.329
Hombres;Argentina;Total;2022;155.840
Hombres;Argentina;Total;2021;145.633
Hombres;Argentina;Ocupado/a;2022;85.394
Hombres;Argentina;Ocupado/a;2021;74.613
Hombres;Argentina;Parado/a;2022;10.478
Hombres;Argentina;Parado/a;2021;15.009
Hombres;Argentina;Inactivo/a;2022;59.968
Hombres;Argentina;Inactivo/a;2021;56.011
Hombres;Armenia;Total;2022;5.911
Hombres;Armenia;Total;2021;5.808
Hombres;Armenia;Ocupado/a;2022;2.909
Hombres;Armenia;Ocupado/a;2021;2.662
Hombres;Armenia;Parado/a;2022;618
Hombres;Armenia;Parado/a;2021;809
Hombres;Armenia;Inactivo/a;2022;2.384
Hombres;Armenia;Inactivo/a;2021;2.337
Hombres;Australia;Total;2022;3.278
Hombres;Australia;Total;2021;3.248
Hombres;Australia;Ocupado/a;2022;1.601
Hombres;Australia;Ocupado/a;2021;1.576
Hombres;Australia;Parado/a;2022;147
Hombres;Australia;Parado/a;2021;198
Hombres;Australia;Inactivo/a;2022;1.530
Hombres;Australia;Inactivo/a;2021;1.474
Hombres;Austria;Total;2022;3.120
Hombres;Austria;Total;2021;2.972
Hombres;Austria;Ocupado/a;2022;1.235
Hombres;Austria;Ocupado/a;2021;1.177
Hombres;Austria;Parado/a;2022;91
Hombres;Austria;Parado/a;2021;115
Hombres;Austria;Inactivo/a;2022;1.794
Hombres;Austria;Inactivo/a;2021;1.680
Hombres;Bangladesh;Total;2022;11.957
Hombres;Bangladesh;Total;2021;12.826
Hombres;Bangladesh;Ocupado/a;2022;7.029
Hombres;Bangladesh;Ocupado/a;2021;6.541
Hombres;Bangladesh;Parado/a;2022;629
Hombres;Bangladesh;Parado/a;2021;928
Hombres;Bangladesh;Inactivo/a;2022;4.299
Hombres;Bangladesh;Inactivo/a;2021;5.357
Hombres;Belarús;Total;2022;1.972
Hombres;Belarús;Total;2021;1.688
Hombres;Belarús;Ocupado/a;2022;808
Hombres;Belarús;Ocupado/a;2021;668
Hombres;Belarús;Parado/a;2022;125
Hombres;Belarús;Parado/a;2021;147
Hombres;Belarús;Inactivo/a;2022;1.039
Hombres;Belarús;Inactivo/a;2021;873
Hombres;Bélgica;Total;2022;24.252
Hombres;Bélgica;Total;2021;22.881
Hombres;Bélgica;Ocupado/a;2022;9.695
Hombres;Bélgica;Ocupado/a;2021;9.238
Hombres;Bélgica;Parado/a;2022;1.157
Hombres;Bélgica;Parado/a;2021;1.506
Hombres;Bélgica;Inactivo/a;2022;13.400
Hombres;Bélgica;Inactivo/a;2021;12.137
Hombres;Bolivia;Total;2022;70.271
Hombres;Bolivia;Total;2021;68.686
Hombres;Bolivia;Ocupado/a;2022;41.832
Hombres;Bolivia;Ocupado/a;2021;38.382
Hombres;Bolivia;Parado/a;2022;5.107
Hombres;Bolivia;Parado/a;2021;7.191
Hombres;Bolivia;Inactivo/a;2022;23.332
Hombres;Bolivia;Inactivo/a;2021;23.113
Hombres;Brasil;Total;2022;52.382
Hombres;Brasil;Total;2021;52.329
Hombres;Brasil;Ocupado/a;2022;25.681
Hombres;Brasil;Ocupado/a;2021;22.862
Hombres;Brasil;Parado/a;2022;3.394
Hombres;Brasil;Parado/a;2021;5.000
Hombres;Brasil;Inactivo/a;2022;23.307
Hombres;Brasil;Inactivo/a;2021;24.467
Hombres;Bulgaria;Total;2022;51.293
Hombres;Bulgaria;Total;2021;52.975
Hombres;Bulgaria;Ocupado/a;2022;28.456
Hombres;Bulgaria;Ocupado/a;2021;27.863
Hombres;Bulgaria;Parado/a;2022;6.076
Hombres;Bulgaria;Parado/a;2021;7.890
Hombres;Bulgaria;Inactivo/a;2022;16.761
Hombres;Bulgaria;Inactivo/a;2021;17.222
Hombres;Cabo Verde;Total;2022;1.823
Hombres;Cabo Verde;Total;2021;1.786
Hombres;Cabo Verde;Ocupado/a;2022;907
Hombres;Cabo Verde;Ocupado/a;2021;783
Hombres;Cabo Verde;Parado/a;2022;104
Hombres;Cabo Verde;Parado/a;2021;168
Hombres;Cabo Verde;Inactivo/a;2022;812
Hombres;Cabo Verde;Inactivo/a;2021;835
Hombres;Camerún;Total;2022;4.182
Hombres;Camerún;Total;2021;4.115
Hombres;Camerún;Ocupado/a;2022;2.020
Hombres;Camerún;Ocupado/a;2021;1.790
Hombres;Camerún;Parado/a;2022;475
Hombres;Camerún;Parado/a;2021;633
Hombres;Camerún;Inactivo/a;2022;1.687
Hombres;Camerún;Inactivo/a;2021;1.692
Hombres;Canadá;Total;2022;3.311
Hombres;Canadá;Total;2021;3.140
Hombres;Canadá;Ocupado/a;2022;1.460
Hombres;Canadá;Ocupado/a;2021;1.396
Hombres;Canadá;Parado/a;2022;120
Hombres;Canadá;Parado/a;2021;160
Hombres;Canadá;Inactivo/a;2022;1.731
Hombres;Canadá;Inactivo/a;2021;1.584
Hombres;Chile;Total;2022;28.227
Hombres;Chile;Total;2021;27.377
Hombres;Chile;Ocupado/a;2022;13.769
Hombres;Chile;Ocupado/a;2021;12.547
Hombres;Chile;Parado/a;2022;2.016
Hombres;Chile;Parado/a;2021;2.949
Hombres;Chile;Inactivo/a;2022;12.442
Hombres;Chile;Inactivo/a;2021;11.881
Hombres;China;Total;2022;83.044
Hombres;China;Total;2021;82.684
Hombres;China;Ocupado/a;2022;55.824
Hombres;China;Ocupado/a;2021;52.128
Hombres;China;Parado/a;2022;1.385
Hombres;China;Parado/a;2021;2.709
Hombres;China;Inactivo/a;2022;25.835
Hombres;China;Inactivo/a;2021;27.847
Hombres;Colombia;Total;2022;218.526
Hombres;Colombia;Total;2021;206.828
Hombres;Colombia;Ocupado/a;2022;108.625
Hombres;Colombia;Ocupado/a;2021;95.330
Hombres;Colombia;Parado/a;2022;15.064
Hombres;Colombia;Parado/a;2021;23.113
Hombres;Colombia;Inactivo/a;2022;94.837
Hombres;Colombia;Inactivo/a;2021;88.385
Hombres;Corea;Total;2022;1.662
Hombres;Corea;Total;2021;1.802
Hombres;Corea;Ocupado/a;2022;739
Hombres;Corea;Ocupado/a;2021;705
Hombres;Corea;Parado/a;2022;35
Hombres;Corea;Parado/a;2021;49
Hombres;Corea;Inactivo/a;2022;888
Hombres;Corea;Inactivo/a;2021;1.048
Hombres;Costa de Marfil;Total;2022;3.819
Hombres;Costa de Marfil;Total;2021;3.702
Hombres;Costa de Marfil;Ocupado/a;2022;2.070
Hombres;Costa de Marfil;Ocupado/a;2021;1.823
Hombres;Costa de Marfil;Parado/a;2022;228
Hombres;Costa de Marfil;Parado/a;2021;318
Hombres;Costa de Marfil;Inactivo/a;2022;1.521
Hombres;Costa de Marfil;Inactivo/a;2021;1.561
Hombres;Costa Rica;Total;2022;2.225
Hombres;Costa Rica;Total;2021;2.154
Hombres;Costa Rica;Ocupado/a;2022;939
Hombres;Costa Rica;Ocupado/a;2021;858
Hombres;Costa Rica;Parado/a;2022;120
Hombres;Costa Rica;Parado/a;2021;169
Hombres;Costa Rica;Inactivo/a;2022;1.166
Hombres;Costa Rica;Inactivo/a;2021;1.127
Hombres;Croacia;Total;2022;1.078
Hombres;Croacia;Total;2021;1.057
Hombres;Croacia;Ocupado/a;2022;508
Hombres;Croacia;Ocupado/a;2021;452
Hombres;Croacia;Parado/a;2022;77
Hombres;Croacia;Parado/a;2021;103
Hombres;Croacia;Inactivo/a;2022;493
Hombres;Croacia;Inactivo/a;2021;502
Hombres;Cuba;Total;2022;76.250
Hombres;Cuba;Total;2021;71.773
Hombres;Cuba;Ocupado/a;2022;36.402
Hombres;Cuba;Ocupado/a;2021;31.201
Hombres;Cuba;Parado/a;2022;7.647
Hombres;Cuba;Parado/a;2021;9.946
Hombres;Cuba;Inactivo/a;2022;32.201
Hombres;Cuba;Inactivo/a;2021;30.626
Hombres;Dinamarca;Total;2022;4.385
Hombres;Dinamarca;Total;2021;4.314
Hombres;Dinamarca;Ocupado/a;2022;1.459
Hombres;Dinamarca;Ocupado/a;2021;1.388
Hombres;Dinamarca;Parado/a;2022;73
Hombres;Dinamarca;Parado/a;2021;113
Hombres;Dinamarca;Inactivo/a;2022;2.853
Hombres;Dinamarca;Inactivo/a;2021;2.813
Hombres;Ecuador;Total;2022;189.989
Hombres;Ecuador;Total;2021;188.773
Hombres;Ecuador;Ocupado/a;2022;128.984
Hombres;Ecuador;Ocupado/a;2021;119.945
Hombres;Ecuador;Parado/a;2022;14.189
Hombres;Ecuador;Parado/a;2021;20.327
Hombres;Ecuador;Inactivo/a;2022;46.816
Hombres;Ecuador;Inactivo/a;2021;48.501
Hombres;Egipto;Total;2022;3.878
Hombres;Egipto;Total;2021;3.694
Hombres;Egipto;Ocupado/a;2022;1.441
Hombres;Egipto;Ocupado/a;2021;1.304
Hombres;Egipto;Parado/a;2022;347
Hombres;Egipto;Parado/a;2021;421
Hombres;Egipto;Inactivo/a;2022;2.090
Hombres;Egipto;Inactivo/a;2021;1.969
Hombres;El Salvador;Total;2022;10.796
Hombres;El Salvador;Total;2021;9.957
Hombres;El Salvador;Ocupado/a;2022;4.629
Hombres;El Salvador;Ocupado/a;2021;4.024
Hombres;El Salvador;Parado/a;2022;418
Hombres;El Salvador;Parado/a;2021;917
Hombres;El Salvador;Inactivo/a;2022;5.749
Hombres;El Salvador;Inactivo/a;2021;5.016
Hombres;Estados Unidos de América;Total;2022;21.470
Hombres;Estados Unidos de América;Total;2021;20.137
Hombres;Estados Unidos de América;Ocupado/a;2022;6.888
Hombres;Estados Unidos de América;Ocupado/a;2021;6.417
Hombres;Estados Unidos de América;Parado/a;2022;555
Hombres;Estados Unidos de América;Parado/a;2021;707
Hombres;Estados Unidos de América;Inactivo/a;2022;14.027
Hombres;Estados Unidos de América;Inactivo/a;2021;13.013
Hombres;España;Total;2022;16.251.130
Hombres;España;Total;2021;16.248.771
Hombres;España;Ocupado/a;2022;8.586.959
Hombres;España;Ocupado/a;2021;8.373.502
Hombres;España;Parado/a;2022;996.105
Hombres;España;Parado/a;2021;1.262.820
Hombres;España;Inactivo/a;2022;6.668.066
Hombres;España;Inactivo/a;2021;6.612.449
Hombres;Estonia;Total;2022;787
Hombres;Estonia;Total;2021;774
Hombres;Estonia;Ocupado/a;2022;282
Hombres;Estonia;Ocupado/a;2021;255
Hombres;Estonia;Parado/a;2022;43
Hombres;Estonia;Parado/a;2021;63
Hombres;Estonia;Inactivo/a;2022;462
Hombres;Estonia;Inactivo/a;2021;456
Hombres;Etiopía;Total;2022;1.281
Hombres;Etiopía;Total;2021;1.080
Hombres;Etiopía;Ocupado/a;2022;316
Hombres;Etiopía;Ocupado/a;2021;241
Hombres;Etiopía;Parado/a;2022;65
Hombres;Etiopía;Parado/a;2021;78
Hombres;Etiopía;Inactivo/a;2022;900
Hombres;Etiopía;Inactivo/a;2021;761
Hombres;Filipinas;Total;2022;17.834
Hombres;Filipinas;Total;2021;17.616
Hombres;Filipinas;Ocupado/a;2022;11.655
Hombres;Filipinas;Ocupado/a;2021;10.525
Hombres;Filipinas;Parado/a;2022;678
Hombres;Filipinas;Parado/a;2021;1.349
Hombres;Filipinas;Inactivo/a;2022;5.501
Hombres;Filipinas;Inactivo/a;2021;5.742
Hombres;Finlandia;Total;2022;4.645
Hombres;Finlandia;Total;2021;4.528
Hombres;Finlandia;Ocupado/a;2022;953
Hombres;Finlandia;Ocupado/a;2021;900
Hombres;Finlandia;Parado/a;2022;68
Hombres;Finlandia;Parado/a;2021;95
Hombres;Finlandia;Inactivo/a;2022;3.624
Hombres;Finlandia;Inactivo/a;2021;3.533
Hombres;Francia;Total;2022;97.359
Hombres;Francia;Total;2021;96.021
Hombres;Francia;Ocupado/a;2022;55.033
Hombres;Francia;Ocupado/a;2021;53.260
Hombres;Francia;Parado/a;2022;6.360
Hombres;Francia;Parado/a;2021;7.791
Hombres;Francia;Inactivo/a;2022;35.966
Hombres;Francia;Inactivo/a;2021;34.970
Hombres;Gambia;Total;2022;20.137
Hombres;Gambia;Total;2021;18.797
Hombres;Gambia;Ocupado/a;2022;9.914
Hombres;Gambia;Ocupado/a;2021;8.696
Hombres;Gambia;Parado/a;2022;1.555
Hombres;Gambia;Parado/a;2021;2.034
Hombres;Gambia;Inactivo/a;2022;8.668
Hombres;Gambia;Inactivo/a;2021;8.067
Hombres;Georgia;Total;2022;7.791
Hombres;Georgia;Total;2021;7.595
Hombres;Georgia;Ocupado/a;2022;3.074
Hombres;Georgia;Ocupado/a;2021;2.791
Hombres;Georgia;Parado/a;2022;518
Hombres;Georgia;Parado/a;2021;776
Hombres;Georgia;Inactivo/a;2022;4.199
Hombres;Georgia;Inactivo/a;2021;4.028
Hombres;Ghana;Total;2022;14.553
Hombres;Ghana;Total;2021;14.411
Hombres;Ghana;Ocupado/a;2022;7.839
Hombres;Ghana;Ocupado/a;2021;7.359
Hombres;Ghana;Parado/a;2022;1.109
Hombres;Ghana;Parado/a;2021;1.365
Hombres;Ghana;Inactivo/a;2022;5.605
Hombres;Ghana;Inactivo/a;2021;5.687
Hombres;Grecia;Total;2022;2.482
Hombres;Grecia;Total;2021;2.447
Hombres;Grecia;Ocupado/a;2022;1.361
Hombres;Grecia;Ocupado/a;2021;1.247
Hombres;Grecia;Parado/a;2022;129
Hombres;Grecia;Parado/a;2021;183
Hombres;Grecia;Inactivo/a;2022;992
Hombres;Grecia;Inactivo/a;2021;1.017
Hombres;Guatemala;Total;2022;5.536
Hombres;Guatemala;Total;2021;5.333
Hombres;Guatemala;Ocupado/a;2022;2.285
Hombres;Guatemala;Ocupado/a;2021;1.995
Hombres;Guatemala;Parado/a;2022;260
Hombres;Guatemala;Parado/a;2021;371
Hombres;Guatemala;Inactivo/a;2022;2.991
Hombres;Guatemala;Inactivo/a;2021;2.967
Hombres;Guinea;Total;2022;9.552
Hombres;Guinea;Total;2021;9.646
Hombres;Guinea;Ocupado/a;2022;5.156
Hombres;Guinea;Ocupado/a;2021;4.741
Hombres;Guinea;Parado/a;2022;796
Hombres;Guinea;Parado/a;2021;1.239
Hombres;Guinea;Inactivo/a;2022;3.600
Hombres;Guinea;Inactivo/a;2021;3.666
Hombres;Guinea Ecuatorial;Total;2022;7.375
Hombres;Guinea Ecuatorial;Total;2021;7.258
Hombres;Guinea Ecuatorial;Ocupado/a;2022;2.839
Hombres;Guinea Ecuatorial;Ocupado/a;2021;2.512
Hombres;Guinea Ecuatorial;Parado/a;2022;602
Hombres;Guinea Ecuatorial;Parado/a;2021;779
Hombres;Guinea Ecuatorial;Inactivo/a;2022;3.934
Hombres;Guinea Ecuatorial;Inactivo/a;2021;3.967
Hombres;Guinea-Bissau;Total;2022;4.387
Hombres;Guinea-Bissau;Total;2021;4.205
Hombres;Guinea-Bissau;Ocupado/a;2022;2.313
Hombres;Guinea-Bissau;Ocupado/a;2021;2.194
Hombres;Guinea-Bissau;Parado/a;2022;428
Hombres;Guinea-Bissau;Parado/a;2021;532
Hombres;Guinea-Bissau;Inactivo/a;2022;1.646
Hombres;Guinea-Bissau;Inactivo/a;2021;1.479
Hombres;Honduras;Total;2022;37.371
Hombres;Honduras;Total;2021;34.289
Hombres;Honduras;Ocupado/a;2022;13.302
Hombres;Honduras;Ocupado/a;2021;10.451
Hombres;Honduras;Parado/a;2022;1.202
Hombres;Honduras;Parado/a;2021;2.003
Hombres;Honduras;Inactivo/a;2022;22.867
Hombres;Honduras;Inactivo/a;2021;21.835
Hombres;Hungría;Total;2022;3.748
Hombres;Hungría;Total;2021;3.609
Hombres;Hungría;Ocupado/a;2022;1.515
Hombres;Hungría;Ocupado/a;2021;1.361
Hombres;Hungría;Parado/a;2022;219
Hombres;Hungría;Parado/a;2021;342
Hombres;Hungría;Inactivo/a;2022;2.014
Hombres;Hungría;Inactivo/a;2021;1.906
Hombres;India;Total;2022;32.264
Hombres;India;Total;2021;33.319
Hombres;India;Ocupado/a;2022;18.447
Hombres;India;Ocupado/a;2021;16.820
Hombres;India;Parado/a;2022;1.167
Hombres;India;Parado/a;2021;1.814
Hombres;India;Inactivo/a;2022;12.650
Hombres;India;Inactivo/a;2021;14.685
Hombres;Indonesia;Total;2022;1.284
Hombres;Indonesia;Total;2021;1.151
Hombres;Indonesia;Ocupado/a;2022;664
Hombres;Indonesia;Ocupado/a;2021;608
Hombres;Indonesia;Parado/a;2022;23
Hombres;Indonesia;Parado/a;2021;32
Hombres;Indonesia;Inactivo/a;2022;597
Hombres;Indonesia;Inactivo/a;2021;511
Hombres;Irán;Total;2022;5.569
Hombres;Irán;Total;2021;5.230
Hombres;Irán;Ocupado/a;2022;1.911
Hombres;Irán;Ocupado/a;2021;1.726
Hombres;Irán;Parado/a;2022;239
Hombres;Irán;Parado/a;2021;333
Hombres;Irán;Inactivo/a;2022;3.419
Hombres;Irán;Inactivo/a;2021;3.171
Hombres;Iraq;Total;2022;1.852
Hombres;Iraq;Total;2021;1.729
Hombres;Iraq;Ocupado/a;2022;482
Hombres;Iraq;Ocupado/a;2021;463
Hombres;Iraq;Parado/a;2022;123
Hombres;Iraq;Parado/a;2021;162
Hombres;Iraq;Inactivo/a;2022;1.247
Hombres;Iraq;Inactivo/a;2021;1.104
Hombres;Irlanda;Total;2022;8.456
Hombres;Irlanda;Total;2021;7.439
Hombres;Irlanda;Ocupado/a;2022;3.211
Hombres;Irlanda;Ocupado/a;2021;2.882
Hombres;Irlanda;Parado/a;2022;191
Hombres;Irlanda;Parado/a;2021;284
Hombres;Irlanda;Inactivo/a;2022;5.054
Hombres;Irlanda;Inactivo/a;2021;4.273
Hombres;Israel;Total;2022;2.139
Hombres;Israel;Total;2021;2.071
Hombres;Israel;Ocupado/a;2022;945
Hombres;Israel;Ocupado/a;2021;857
Hombres;Israel;Parado/a;2022;95
Hombres;Israel;Parado/a;2021;136
Hombres;Israel;Inactivo/a;2022;1.099
Hombres;Israel;Inactivo/a;2021;1.078
Hombres;Italia;Total;2022;79.160
Hombres;Italia;Total;2021;78.273
Hombres;Italia;Ocupado/a;2022;42.502
Hombres;Italia;Ocupado/a;2021;38.863
Hombres;Italia;Parado/a;2022;4.705
Hombres;Italia;Parado/a;2021;7.810
Hombres;Italia;Inactivo/a;2022;31.953
Hombres;Italia;Inactivo/a;2021;31.600
Hombres;Japón;Total;2022;2.092
Hombres;Japón;Total;2021;2.110
Hombres;Japón;Ocupado/a;2022;879
Hombres;Japón;Ocupado/a;2021;851
Hombres;Japón;Parado/a;2022;47
Hombres;Japón;Parado/a;2021;65
Hombres;Japón;Inactivo/a;2022;1.166
Hombres;Japón;Inactivo/a;2021;1.194
Hombres;Jordania;Total;2022;1.736
Hombres;Jordania;Total;2021;1.747
Hombres;Jordania;Ocupado/a;2022;585
Hombres;Jordania;Ocupado/a;2021;540
Hombres;Jordania;Parado/a;2022;124
Hombres;Jordania;Parado/a;2021;158
Hombres;Jordania;Inactivo/a;2022;1.027
Hombres;Jordania;Inactivo/a;2021;1.049
Hombres;Kazajstán;Total;2022;1.232
Hombres;Kazajstán;Total;2021;994
Hombres;Kazajstán;Ocupado/a;2022;225
Hombres;Kazajstán;Ocupado/a;2021;192
Hombres;Kazajstán;Parado/a;2022;39
